Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
1,Polen,,3,1,1,1,,3,:,3,0,4,C,,,,37,25.06.2016,15:00,,Schweiz,,,:,Ukraina,,,2,:,1
2,÷sterrike,,3,1,1,1,,2,:,3,-1,4,F,,,,38,25.06.2016,18:00,,England,,,:,Polen,,,2,:,1
3,Italien,,3,1,0,2,,5,:,5,0,3,E,,,,39,25.06.2016,21:00,,Spanien,,,:,÷sterrike,,,2,:,1
4,Slovakien,,3,1,0,2,,3,:,4,-1,3,B,,,,40,26.06.2016,15:00,,Frankrike,,,:,Italien,,,2,:,1
5,Tjeckien,,3,0,2,1,,3,:,5,-2,2,D,,,,41,26.06.2016,18:00,,Tyskland,,,:,Slovakien,,,2,:,1
6,Rum‰nien,,3,0,2,1,,2,:,4,-2,2,A,,,,42,26.06.2016,21:00,,Portugal,,,:,Belgien,,,1,:,2
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Zverige,,,:,Turkiet,,,2,:,1
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Ryssland,,,:,Ungern,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,M?l,,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
45,30.06.2016,21:00,Schweiz,,,,:,Spanien,,,1,:,2,,,,49,06.07.2016,21:00,,Spanien,,,:,England,,,2,:,1
46,01.07.2016,21:00,England,,,,:,Belgien,,,1,:,2,,,,50,07.07.2016,21:00,,Zverige,,,:,Frankrike,,,2,:,1
47,02.07.2016,21:00,Tyskland,,,,:,Zverige,,,1,:,2,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Ryssland,,,2,:,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Spanien,,,:,Zverige,,,0,:,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Zverige,,,,,,,,,,,,,,,,,,
