Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
1,÷sterrike,,3,1,1,1,,5,:,4,1,4,F,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,2,:,0
2,Tjeckien,,3,1,1,1,,4,:,5,-1,4,D,,,,38,25.06.2016,18:00,,Ryssland,,,:,Tjeckien,,,3,:,1
3,Belgien,,3,1,1,1,,3,:,4,-1,4,E,,,,39,25.06.2016,21:00,,Spanien,,,:,Belgien,,,2,:,0
4,Nordirland,,3,1,1,1,,3,:,6,-3,4,C,,,,40,26.06.2016,15:00,,Frankrike,,,:,Nordirland,,,4,:,0
5,Rum‰nien,,3,1,0,2,,5,:,6,-1,3,A,,,,41,26.06.2016,18:00,,Tyskland,,,:,÷sterrike,,,3,:,0
6,Wales,,3,1,0,2,,3,:,4,-1,3,B,,,,42,26.06.2016,21:00,,Portugal,,,:,Italien,,,2,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Zverige,,,:,Kroatien,,,2,:,1
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,England,,,:,Island,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,M?l,,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
45,30.06.2016,21:00,Schweiz,,,,:,Spanien,,,1,:,2,,,,49,06.07.2016,21:00,,Spanien,,,:,Portugal,,,1,:,2
46,01.07.2016,21:00,Ryssland,,,,:,Portugal,,,2,:,3,,,,50,07.07.2016,21:00,,Tyskland,,,:,Frankrike,,,2,:,0
47,02.07.2016,21:00,Tyskland,,,,:,Zverige,,,3,:,0,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,England,,,2,:,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Portugal,,,:,Tyskland,,,0,:,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Tyskland,,,,,,,,,,,,,,,,,,
