Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Zverige,,3,1,1,1,,5,:,5,0,4,E,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,1,:,2
2,Turkiet,,3,1,1,1,,3,:,4,-1,4,D,,,,38,25.06.2016,18:00,,England,,,:,RumÑnien,,,2,:,0
3,RumÑnien,,3,1,0,2,,3,:,3,0,3,A,,,,39,25.06.2016,21:00,,Spanien,,,:,Zverige,,,3,:,1
4,ôsterrike,,3,1,0,2,,4,:,5,-1,3,F,,,,40,26.06.2016,15:00,,Frankrike,,,:,Turkiet,,,2,:,1
5,Slovakien,,3,1,0,2,,3,:,5,-2,3,B,,,,41,26.06.2016,18:00,,Tyskland,,,:,ôsterrike,,,3,:,1
6,Ukraina,,3,1,0,2,,4,:,7,-3,3,C,,,,42,26.06.2016,21:00,,Portugal,,,:,Belgien,,,3,:,2
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Italien,,,:,Tjeckien,,,3,:,0
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Ryssland,,,:,Island,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Polen,,,,:,Spanien,,,1,:,3,,,,49,06.07.2016,21:00,,Spanien,,,:,Portugal,,,3,:,1
46,01.07.2016,21:00,England,,,,:,Portugal,,,1,:,2,,,,50,07.07.2016,21:00,,Tyskland,,,:,Frankrike,,,1,:,2
47,02.07.2016,21:00,Tyskland,,,,:,Italien,,,2,:,1,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Ryssland,,,2,:,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Spanien,,,:,Frankrike,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Spanien,,,,,,,,,,,,,,,,,,
