Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,2,:,0,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,2,:,0
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,0,:,1,,,,19,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,0,:,1
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,2,:,1,,,,20,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,2,:,0
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,0,:,1,,,,31,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,1
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,2,,,,32,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,0,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,,,,,,,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,
1,Italien,,3,2,1,0,,5,:,3,2,7,,,,,1,Portugal,,3,2,1,0,,4,:,1,3,7,
2,Belgien,,3,1,2,0,,4,:,3,1,5,,,,,2,÷sterrike,,3,2,1,0,,4,:,1,3,7,
3,Zverige,,3,1,1,1,,4,:,4,0,4,,,,,3,Ungern,,3,0,1,2,,1,:,3,-2,1,
4,Irland,,3,0,0,3,,3,:,6,-3,0,,,,,4,Island,,3,0,1,2,,1,:,5,-4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,M?l,,,,,Spel,Datum,Tid,,Lag,,,,,,,,M?l,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,1,:,2,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,1,:,0
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,1,:,1,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,2,:,0
21,17.06.2016,15:00,,Italien,,,:,Zverige,,,2,:,1,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,1,:,1
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,2,:,1,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,1,:,1
33,22.06.2016,21:00,,Italien,,,:,Irland,,,2,:,1,,,,35,22.06.2016,21:00,,Ungern,,,:,Portugal,,,0,:,1
34,22.06.2016,21:00,,Zverige,,,:,Belgien,,,1,:,1,,,,36,22.06.2016,21:00,,Island,,,:,÷sterrike,,,0,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,M?l,,Diff,Po?ng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
1,Zverige,,3,1,1,1,,4,:,4,0,4,E,,,,37,25.06.2016,15:00,,Albanien,,,:,Polen,,,0,:,1
2,Turkiet,,3,1,1,1,,2,:,3,-1,4,D,,,,38,25.06.2016,18:00,,England,,,:,Turkiet,,,2,:,1
3,Nordirland,,3,1,0,2,,1,:,3,-2,3,C,,,,39,25.06.2016,21:00,,Spanien,,,:,Zverige,,,2,:,1
4,Schweiz,,3,0,2,1,,2,:,3,-1,2,A,,,,40,26.06.2016,15:00,,Frankrike,,,:,Nordirland,,,2,:,0
5,Ryssland,,3,0,1,2,,2,:,4,-2,1,B,,,,41,26.06.2016,18:00,,Tyskland,,,:,Schweiz,,,2,:,0
6,Ungern,,3,0,1,2,,1,:,3,-2,1,F,,,,42,26.06.2016,21:00,,Portugal,,,:,Belgien,,,0,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Italien,,,:,Kroatien,,,1,:,0
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Wales,,,:,÷sterrike,,,1,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,M?l,,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
45,30.06.2016,21:00,Polen,,,,:,Spanien,,,1,:,2,,,,49,06.07.2016,21:00,,Spanien,,,:,England,,,2,:,1
46,01.07.2016,21:00,England,,,,:,Belgien,,,2,:,1,,,,50,07.07.2016,21:00,,Tyskland,,,:,Frankrike,,,1,:,2
47,02.07.2016,21:00,Tyskland,,,,:,Italien,,,2,:,1,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Wales,,,2,:,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,M?l,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Spanien,,,:,Frankrike,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Frankrike,,,,,,,,,,,,,,,,,,
