Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Belgien,,3,1,2,0,,5,:,3,2,5,E,,,,37,25.06.2016,15:00,,Rum‰nien,,,:,Polen,,,1,:,2
2,Ukraina,,3,1,1,1,,5,:,4,1,4,C,,,,38,25.06.2016,18:00,,England,,,:,Spanien,,,2,:,1
3,÷sterrike,,3,1,1,1,,3,:,3,0,4,F,,,,39,25.06.2016,21:00,,Turkiet,,,:,Belgien,,,2,:,3
4,Spanien,,3,1,1,1,,6,:,7,-1,4,D,,,,40,26.06.2016,15:00,,Frankrike,,,:,Ukraina,,,2,:,1
5,Albanien,,3,0,3,0,,4,:,4,0,3,A,,,,41,26.06.2016,18:00,,Tyskland,,,:,÷sterrike,,,3,:,1
6,Wales,,3,1,0,2,,3,:,5,-2,3,B,,,,42,26.06.2016,21:00,,Portugal,,,:,Zverige,,,1,:,0
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Italien,,,:,Tjeckien,,,2,:,1
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Ryssland,,,:,Island,,,2,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Polen,,,,:,Belgien,,,1,:,2,,,,49,06.07.2016,21:00,,Belgien,,,:,England,,,1,:,2
46,01.07.2016,21:00,England,,,,:,Portugal,,,2,:,1,,,,50,07.07.2016,21:00,,Italien,,,:,Frankrike,,,0,:,3
47,02.07.2016,21:00,Tyskland,,,,:,Italien,,,1,:,2,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Ryssland,,,2,:,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,England,,,:,Frankrike,,,2,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,England,,,,,,,,,,,,,,,,,,
