Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Tyskland,,3,3,0,0,,7,:,1,6,9,,,,,1,Spanien,,3,3,0,0,,7,:,2,5,9,
2,Polen,,3,2,0,1,,5,:,3,2,6,,,,,2,Tjeckien,,3,1,1,1,,4,:,3,1,4,
3,Ukraina,,3,1,0,2,,2,:,4,-2,3,,,,,3,Kroatien,,3,1,1,1,,4,:,4,0,4,
4,Nordirland,,3,0,0,3,,0,:,6,-6,0,,,,,4,Turkiet,,3,0,0,3,,1,:,7,-6,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,2,:,0,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,1,:,2
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,2,:,0,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,2,:,1
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,1,:,0,,,,20,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,1,:,1
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,2,:,1,,,,21,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,3,:,0
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,1,:,2,,,,32,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,2
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,3,,,,31,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,2,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Belgien,,3,3,0,0,,6,:,1,5,9,,,,,1,Portugal,,3,3,0,0,,7,:,2,5,9,
2,Italien,,3,2,0,1,,6,:,4,2,6,,,,,2,÷sterrike,,3,2,0,1,,5,:,4,1,6,
