Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Plats,Land,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
1,Slovakien,,3,1,1,1,,4,:,4,0,4,B,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,1,:,2
2,Turkiet,,3,0,2,1,,4,:,5,-1,2,D,,,,38,25.06.2016,18:00,,England,,,:,Turkiet,,,1,:,0
3,Ukraina,,3,0,2,1,,3,:,4,-1,2,C,,,,39,25.06.2016,21:00,,Spanien,,,:,Slovakien,,,2,:,0
4,Albanien,,3,0,2,1,,2,:,3,-1,2,A,,,,40,26.06.2016,15:00,,Frankrike,,,:,Ukraina,,,3,:,1
5,Irland,,3,0,2,1,,2,:,4,-2,2,E,,,,41,26.06.2016,18:00,,Tyskland,,,:,Albanien,,,1,:,0
6,Island,,3,0,1,2,,3,:,5,-2,1,F,,,,42,26.06.2016,21:00,,Portugal,,,:,Italien,,,0,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Belgien,,,:,Kroatien,,,2,:,1
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Ryssland,,,:,÷sterrike,,,1,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÜl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
45,30.06.2016,21:00,Polen,,,,:,Spanien,,,1,:,2,,,,49,06.07.2016,21:00,,Spanien,,,:,England,,,2,:,0
46,01.07.2016,21:00,England,,,,:,Italien,,,1,:,0,,,,50,07.07.2016,21:00,,Tyskland,,,:,Frankrike,,,1,:,2
47,02.07.2016,21:00,Tyskland,,,,:,Belgien,,,2,:,0,,,,,,,,,,,,,,,,,
48,03.07.2016,21:00,Frankrike,,,,:,Ryssland,,,2,:,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Grand Finale,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÜl,
,,,,,,,,,,,,,,,,,51,10.07.2016,21:00,,Spanien,,,:,Frankrike,,,1,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Europameister,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Spanien,,,,,,,,,,,,,,,,,,
