Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
5,12.06.2016,18:00,,Polen,,,:,Nordirland,,,1,:,0,,,,7,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,2,:,1
6,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,3,:,0,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,2,:,1
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,1,:,1,,,,19,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,1,:,2
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,1,:,0,,,,20,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,2,:,0
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,2,:,2,,,,31,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,0,:,3
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,1,:,4,,,,32,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,1,:,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Italien,,3,3,0,0,,6,:,0,6,9,,,,,1,Portugal,,3,3,0,0,,6,:,0,6,9,
2,Zverige,,3,2,0,1,,4,:,3,1,6,,,,,2,÷sterrike,,3,2,0,1,,4,:,3,1,6,
3,Belgien,,3,1,0,2,,3,:,4,-1,3,,,,,3,Island,,3,1,0,2,,1,:,5,-4,3,
4,Irland,,3,0,0,3,,1,:,7,-6,0,,,,,4,Ungern,,3,0,0,3,,1,:,4,-3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
