Grupp A - Tabell,,,nannis,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Tabell,,,,,,,,,,,,,,,,,Grupp D - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Tyskland,,3,3,0,0,,9,:,2,7,9,,,,,1,Spanien,,3,3,0,0,,7,:,2,5,9,
2,Ukraina,,3,1,1,1,,3,:,3,0,4,,,,,2,Turkiet,,3,1,1,1,,4,:,3,1,4,
3,Polen,,3,0,2,1,,2,:,3,-1,2,,,,,3,Kroatien,,3,1,1,1,,3,:,3,0,4,
4,Nordirland,,3,0,1,2,,1,:,7,-6,1,,,,,4,Tjeckien,,3,0,0,3,,1,:,7,-6,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp C - Spelschema,,,,,,,,,,,,,,,,,Grupp D - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÜl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÜl,
6,12.06.2016,18:00,,Polen,,,:,Nordirland,,,1,:,1,,,,5,12.06.2016,15:00,,       Turkiet,,,:,Kroatien,,,1,:,1
7,12.06.2016,21:00,,Tyskland,,,:,Ukraina,,,3,:,1,,,,8,12.06.2016,18:00,,Spanien,,,:,Tjeckien,,,3,:,1
17,16.06.2016,18:00,,Ukraina,,,:,Nordirland,,,2,:,0,,,,20,17.06.2016,18:00,,Tjeckien,,,:,Kroatien,,,0,:,2
18,16.06.2016,21:00,,Tyskland,,,:,Polen,,,2,:,1,,,,21,17.06.2016,21:00,,Spanien,,,:,Turkiet,,,2,:,1
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,0,:,0,,,,32,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,0,:,2
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,4,,,,31,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,0,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,,,,,,,,Sm,V,O,   F,,,MÜl,,Diff,PoÑng,
1,Belgien,,3,3,0,0,,8,:,3,5,9,,,,,1,Portugal,,3,2,1,0,,6,:,2,4,7,
2,Zverige,,3,2,0,1,,5,:,4,1,6,,,,,2,÷sterrike,,3,1,2,0,,5,:,4,1,5,
3,Italien,,3,1,0,2,,4,:,5,-1,3,,,,,3,Island,,3,1,1,1,,4,:,4,0,4,
4,Irland,,3,0,0,3,,2,:,7,-5,0,,,,,4,Ungern,,3,0,0,3,,1,:,6,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
