Grupp A - Tabell,,,,HemmaLag,,,,BortaLag,,,HemmaScore,,BortaScore,,,,Grupp B - Tabell,,,,HemmaLag2,,,,BortaLag2,,,HemmaScore2,,BortaScore2
29,21.06.2016,21:00,,Ukraina,,,:,Polen,,,0,:,1,,,,32,21.06.2016,21:00,,Kroatien,,,:,Spanien,,,1,:,1
30,21.06.2016,21:00,,Nordirland,,,:,Tyskland,,,0,:,2,,,,31,21.06.2016,21:00,,Tjeckien,,,:,Turkiet,,,1,:,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Tabell,,,,,,,,,,,,,,,,,Grupp F - Tabell,,,,,,,,,,,,,
,,,Sm,V,O,   F,,,MÂl,,Diff,Po‰ng,,,,,,,,Sm,V,O,   F,,,MÂl,,Diff,Po‰ng,
1,Belgien,,3,2,1,0,,4,:,0,4,7,,,,,1,÷sterrike,,3,3,0,0,,6,:,2,4,9,
2,Italien,,3,2,1,0,,2,:,0,2,7,,,,,2,Portugal,,3,1,1,1,,4,:,3,1,4,
3,Zverige,,3,1,0,2,,1,:,3,-2,3,,,,,3,Island,,3,1,1,1,,3,:,3,0,4,
4,Irland,,3,0,0,3,,0,:,4,-4,0,,,,,4,Ungern,,3,0,0,3,,0,:,5,-5,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupp E - Spelschema,,,,,,,,,,,,,,,,,Gruppe F - Spelschema,,,,,,,,,,,,,
Spel,Datum,Tid,,Lag,,,,,,,,MÂl,,,,,Spel,Datum,Tid,,Lag,,,,,,,,MÂl,
9,13.06.2016,18:00,,Irland,,,:,Zverige,,,0,:,1,,,,11,14.06.2016,18:00,,÷sterrike,,,:,Ungern,,,2,:,0
10,13.06.2016,21:00,,Belgien,,,:,Italien,,,0,:,0,,,,12,14.06.2016,21:00,,Portugal,,,:,Island,,,1,:,1
19,17.06.2016,15:00,,Italien,,,:,Zverige,,,1,:,0,,,,23,18.06.2016,18:00,,Island,,,:,Ungern,,,1,:,0
22,18.06.2016,15:00,,Belgien,,,:,Irland,,,2,:,0,,,,24,18.06.2016,21:00,,Portugal,,,:,÷sterrike,,,1,:,2
36,22.06.2016,21:00,,Italien,,,:,Irland,,,1,:,0,,,,34,22.06.2016,21:00,,Ungern,,,:,Portugal,,,0,:,2
35,22.06.2016,21:00,,Zverige,,,:,Belgien,,,0,:,2,,,,33,22.06.2016,21:00,,Island,,,:,÷sterrike,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BÑsta treor""-Tabell",,,,,,,,,,,,,,,,,èttondelsfinal,,,,,,,,,,,,,
Plats,Land,,Sm,V,O,   F,,,MÂl,,Diff,Po‰ng,Gruppe,,,,Match,Datum,Tid,,,,,Lag,,,,,MÂl,
1,Ryssland,,3,1,1,1,,3,:,3,0,4,B,,,,37,25.06.2016,15:00,,Schweiz,,,:,Polen,,,1,:,2
2,Island,,3,1,1,1,,3,:,3,0,4,F,,,,38,25.06.2016,18:00,,England,,,:,Tjeckien,,,2,:,0
3,Tjeckien,,3,1,1,1,,2,:,2,0,4,D,,,,39,25.06.2016,21:00,,Spanien,,,:,Island,,,2,:,0
4,Zverige,,3,1,0,2,,1,:,3,-2,3,E,,,,40,26.06.2016,15:00,,Frankrike,,,:,Zverige,,,2,:,0
5,Albanien,,3,0,1,2,,3,:,5,-2,1,A,,,,41,26.06.2016,18:00,,Tyskland,,,:,Ryssland,,,2,:,1
6,Ukraina,,3,0,1,2,,0,:,3,-3,1,C,,,,42,26.06.2016,21:00,,÷sterrike,,,:,Italien,,,0,:,1
,,,,,,,,,,,,,,,,,43,27.06.2016,18:00,,Belgien,,,:,Kroatien,,,2,:,1
,,,,,,,,,,,,,,,,,44,27.06.2016,21:00,,Wales,,,:,Portugal,,,1,:,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kvartsfinal,,,,,,,,,,,,,,,,,Semifinal,,,,,,,,,,,,,
Match,Datum,Tid,,,,,Lag,,,,,MÂl,,,,,Match,Datum,Tid,,,,,Lag,,,,,MÂl,
45,30.06.2016,21:00,Polen,,,,:,Spanien,,,1,:,2,,,,49,06.07.2016,21:00,,Spanien,,,:,England,,,1,:,2
